STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE,RESERVOIR_NAME,STATION_ID_INPUT
BLB,2005-02-01,101299695.90858844,M3,15,M, ,STORAGE,20050201 0000,BLACK BUTTE,BLB
BLB,2005-03-01,146006011.62866002,M3,15,M, ,STORAGE,20050301 0000,BLACK BUTTE,BLB
DAV,2005-01-01,53042185.978217594,M3,15,M, ,STORAGE,20050101 0000,LAKE DAVIS (DWR),DAV
DAV,2005-02-01,53246943.96325048,M3,15,M, ,STORAGE,20050201 0000,LAKE DAVIS (DWR),DAV
DAV,2005-03-01,58861753.287766695,M3,15,M, ,STORAGE,20050301 0000,LAKE DAVIS (DWR),DAV
FRD,2005-01-01,31849734.527313996,M3,15,M, ,STORAGE,20050101 0000,FRENCHMAN DAM,FRD
FRD,2005-02-01,31821364.445050403,M3,15,M, ,STORAGE,20050201 0000,FRENCHMAN DAM,FRD
FRD,2005-03-01,34933439.12118275,M3,15,M, ,STORAGE,20050301 0000,FRENCHMAN DAM,FRD
BCL,2005-01-01,59039374.67237353,M3,15,M, ,STORAGE,20050101 0000,BUCKS LAKE STORAGE,BCL
BCL,2005-02-01,63155503.56426954,M3,15,M, ,STORAGE,20050201 0000,BUCKS LAKE STORAGE,BCL
BCL,2005-03-01,73197279.20374374,M3,15,M, ,STORAGE,20050301 0000,BUCKS LAKE STORAGE,BCL
LGV,2005-01-01,53409763.56580675,M3,15,M,r,STORAGE,20050101 0000,LITTLE GRASS VALLEY,LGV
